time	force
1715876203.194227	0.02
1715876203.194741	0.02
1715876203.195423	0.02
1715876203.195932	0.02
1715876203.1964061	0.0
1715876203.1968808	0.02
1715876203.1973472	0.0
1715876203.19779	0.0
1715876203.198261	0.02
1715876203.233068	0.05
1715876203.2840488	0.02
1715876203.3350441	0.02
1715876203.3861	0.02
1715876203.437268	0.02
1715876203.488344	0.02
1715876203.539339	0.02
1715876203.5903308	0.02
1715876203.645828	0.05
1715876203.69235	0.02
1715876203.743312	0.02
1715876203.794162	0.05
1715876203.845175	0.02
1715876203.896694	0.02
1715876203.947329	0.02
1715876203.998761	0.0
1715876204.049794	0.0
1715876204.100754	0.05
1715876204.151489	0.02
1715876204.206402	0.02
1715876204.2551649	0.02
1715876204.304394	0.02
1715876204.3551202	0.02
1715876204.406395	0.05
1715876204.457414	0.02
1715876204.508328	0.02
1715876204.5597608	0.02
1715876204.610448	0.02
1715876204.6614468	0.05
1715876204.712594	0.02
1715876204.764064	0.0
1715876204.814424	0.02
1715876204.8652532	0.02
1715876204.9163232	0.02
1715876204.9673212	0.05
1715876205.0183659	0.0
1715876205.069367	0.02
1715876205.120554	0.05
1715876205.1721752	0.02
1715876205.223208	0.05
1715876205.273105	0.02
1715876205.3241432	0.02
1715876205.375457	0.02
1715876205.426313	0.02
1715876205.477322	0.05
1715876205.528327	0.05
1715876205.579253	0.02
1715876205.630319	0.02
1715876205.6812742	0.02
1715876205.732235	0.05
1715876205.783239	0.05
1715876205.834146	0.02
1715876205.885231	0.02
1715876205.936587	0.0
1715876205.9874089	0.07
1715876206.038241	0.05
1715876206.0892951	0.02
1715876206.1404119	0.05
1715876206.1914968	0.02
1715876206.242411	0.02
1715876206.2932851	0.0
1715876206.3440378	0.05
1715876206.395023	0.02
1715876206.446238	0.02
1715876206.497252	0.02
1715876206.548233	0.0
1715876206.599314	0.02
1715876206.650164	0.02
1715876206.7010229	0.02
1715876206.7529862	0.02
1715876206.805065	0.0
1715876206.8543491	0.02
1715876206.905945	0.05
1715876206.9563699	0.02
1715876207.0070028	0.0
1715876207.0580149	0.02
1715876207.109003	0.05
1715876207.160015	0.02
1715876207.2109592	0.05
1715876207.262013	0.02
1715876207.312958	0.02
1715876207.3639832	0.05
1715876207.414975	0.02
1715876207.4659688	0.02
1715876207.517018	0.05
1715876207.56889	0.02
1715876207.619004	0.05
1715876207.6700659	0.05
1715876207.7209332	0.05
1715876207.771966	0.02
1715876207.8229818	0.02
1715876207.873987	0.05
1715876207.92501	0.05
1715876207.976056	0.05
1715876208.026966	0.02
1715876208.0780401	0.02
1715876208.128992	0.02
1715876208.179997	0.05
1715876208.230994	0.0
1715876208.281951	0.02
1715876208.332981	0.02
1715876208.3840482	0.05
1715876208.4350069	0.02
1715876208.48597	0.02
1715876208.536931	0.02
1715876208.5879738	0.05
1715876208.638979	0.02
1715876208.6899788	0.0
1715876208.741028	0.05
1715876208.791978	0.02
1715876208.842981	0.02
1715876208.893991	0.05
1715876208.945028	0.02
1715876208.9960399	0.02
1715876209.046964	0.02
1715876209.097973	0.02
1715876209.1489651	0.05
1715876209.200046	0.02
1715876209.251014	0.02
1715876209.302016	0.02
1715876209.3529458	0.05
1715876209.403975	0.02
1715876209.454966	0.02
1715876209.505974	0.02
1715876209.557003	0.05
