time	present_current	position_shift
1715874060.3600068	26.88	0.0
1715874060.39205	20.16	0.0
1715874060.42401	20.16	0.0
1715874060.456094	20.16	0.0
1715874060.488071	23.52	0.0
1715874060.520021	20.16	0.0
1715874060.5520341	23.52	0.0
1715874060.5840158	20.16	0.0
1715874060.6160672	20.16	0.0
1715874060.648086	23.52	0.0
1715874060.6801999	20.16	0.0
1715874060.712149	16.8	0.0
1715874060.7441761	20.16	0.0
1715874060.776035	23.52	0.0
1715874060.8080199	20.16	0.0
1715874060.840254	20.16	0.0
1715874060.872282	20.16	0.0
1715874060.9043012	20.16	0.0
1715874060.936159	20.16	0.0
1715874060.968072	23.52	0.0
1715874061.0	20.16	0.0
1715874061.031967	23.52	0.0
1715874061.0641139	20.16	0.0
1715874061.0961962	20.16	0.0
1715874061.1280901	20.16	0.0
1715874061.16029	20.16	0.0
1715874061.192012	16.8	0.0
1715874061.223979	16.8	0.0
1715874061.256021	23.52	0.0
1715874061.288044	16.8	0.0
1715874061.3201568	20.16	0.0
1715874061.352159	20.16	0.0
1715874061.38407	23.52	0.0
1715874061.41606	23.52	0.0
1715874061.4479702	23.52	0.0
1715874061.480032	26.88	0.0
1715874061.512178	23.52	0.08791208791205918
1715874061.544147	20.16	0.0
1715874061.575967	20.16	0.0
1715874061.608014	20.16	0.0
1715874061.639982	26.88	0.0
1715874061.672012	23.52	0.0
1715874061.704154	20.16	0.0
1715874061.735952	20.16	0.0
1715874061.768022	16.8	0.0
1715874061.8001091	20.16	0.0
1715874061.831959	20.16	0.0
1715874061.863971	16.8	0.0
1715874061.89597	23.52	0.0
1715874061.927899	20.16	0.0
1715874061.95998	20.16	0.0
1715874061.992168	23.52	0.0
1715874062.023954	26.88	0.0
1715874062.055991	23.52	0.0
1715874062.08797	23.52	0.0
1715874062.1199539	23.52	0.0
1715874062.1520262	23.52	0.0
1715874062.184075	23.52	0.0
1715874062.216047	20.16	0.0
1715874062.247953	20.16	0.0
1715874062.2799911	20.16	0.0
1715874062.311917	20.16	0.0
1715874062.34405	23.52	0.0
1715874062.375932	23.52	0.0
1715874062.407995	23.52	0.08791208791205918
1715874062.439924	23.52	0.0
1715874062.471919	23.52	0.0
1715874062.503938	23.52	0.0
1715874062.536105	23.52	0.0
1715874062.56812	23.52	0.0
1715874062.599911	23.52	0.0
1715874062.631953	23.52	0.0
1715874062.663886	20.16	0.0
1715874062.6959429	16.8	0.0
1715874062.72795	20.16	0.0
1715874062.760143	20.16	0.1758241758241752
1715874062.7921479	20.16	0.9670329670329352
1715874062.824028	23.52	2.1098901098901024
1715874062.855925	16.8	3.428571428571388
1715874062.887939	26.88	5.098901098901081
1715874062.9199822	16.8	6.857142857142833
1715874062.952168	16.8	8.703296703296644
1715874062.9840698	30.24	10.549450549450512
1715874063.0160692	20.16	12.483516483516496
1715874063.047998	20.16	14.153846153846189
1715874063.079884	23.52	15.91208791208794
1715874063.111885	13.44	17.582417582417577
1715874063.143849	20.16	19.164835164835154
1715874063.1758568	23.52	20.835164835164846
1715874063.207993	20.16	22.329670329670307
1715874063.239865	23.52	23.912087912087884
1715874063.2719	16.8	25.49450549450546
1715874063.303892	23.52	27.076923076923038
1715874063.33581	23.52	28.571428571428555
1715874063.367867	16.8	30.065934065934016
1715874063.399808	20.16	31.472527472527418
1715874063.431781	20.16	32.87912087912082
1715874063.463901	23.52	34.28571428571422
1715874063.495878	20.16	35.60439560439562
1715874063.5279412	20.16	36.92307692307696
1715874063.560041	23.52	38.329670329670364
1715874063.5922718	23.52	39.56043956043959
1715874063.623956	20.16	40.96703296703299
1715874063.656236	20.16	42.19780219780222
1715874063.687876	23.52	43.516483516483504
1715874063.719872	26.88	44.835164835164846
1715874063.7518919	20.16	46.06593406593407
1715874063.7841291	20.16	47.2967032967033
1715874063.8160388	23.52	48.615384615384585
1715874063.847989	20.16	49.84615384615381
1715874063.8798988	20.16	51.164835164835154
1715874063.9118779	23.52	52.307692307692264
1715874063.943786	23.52	53.626373626373606
1715874063.97589	20.16	54.76923076923072
1715874064.007976	20.16	55.99999999999994
1715874064.0398662	23.52	57.230769230769226
1715874064.071854	20.16	58.373626373626394
1715874064.103843	20.16	59.60439560439562
1715874064.1357398	20.16	60.74725274725273
1715874064.167819	23.52	61.8901098901099
1715874064.199747	20.16	63.120879120879124
1715874064.231786	20.16	64.26373626373623
1715874064.2638452	20.16	65.4065934065934
1715874064.2959528	23.52	66.63736263736263
1715874064.3278148	23.52	67.78021978021974
1715874064.359818	20.16	68.9230769230769
1715874064.391809	16.8	70.15384615384613
1715874064.423761	23.52	71.20879120879118
1715874064.456147	23.52	72.26373626373623
1715874064.487981	23.52	73.23076923076917
1715874064.519847	26.88	74.19780219780216
1715874064.551811	23.52	75.07692307692304
1715874064.583839	23.52	76.04395604395597
1715874064.6157691	23.52	77.01098901098896
1715874064.6480188	23.52	77.89010989010984
1715874064.679947	23.52	78.76923076923072
1715874064.711852	23.52	79.64835164835165
1715874064.743775	23.52	80.52747252747253
1715874064.7757828	20.16	81.4065934065934
1715874064.807768	23.52	82.19780219780222
