time	force
1715874264.4405499	0.0
1715874264.491541	0.02
1715874264.542719	0.0
1715874264.593623	0.0
1715874264.644827	0.02
1715874264.695725	0.02
1715874264.748536	0.0
1715874264.798387	0.02
1715874264.849729	0.02
1715874264.89984	0.02
1715874264.951026	0.02
1715874265.00229	0.0
1715874265.0528278	0.02
1715874265.103946	0.02
1715874265.1548421	0.02
1715874265.2058141	0.0
1715874265.256973	0.0
1715874265.307924	0.02
1715874265.358882	0.0
1715874265.409865	0.02
1715874265.4606001	0.0
1715874265.51346	0.02
1715874265.56578	0.02
1715874265.6137972	0.02
1715874265.664889	0.02
1715874265.715791	0.02
1715874265.7665422	0.0
1715874265.817466	0.02
1715874265.868503	0.02
1715874265.919529	0.0
1715874265.9704802	0.02
1715874266.0214589	0.1
1715874266.0724852	0.19
1715874266.123512	0.34
1715874266.174496	0.5
1715874266.22545	0.65
1715874266.276457	0.81
1715874266.3274722	0.98
1715874266.378531	1.15
1715874266.429485	1.29
1715874266.4804878	1.41
1715874266.531465	1.58
1715874266.582502	1.7
1715874266.633518	1.84
1715874266.684468	1.99
1715874266.7360342	2.13
1715874266.786505	2.25
1715874266.8375099	2.39
1715874266.888512	2.54
1715874266.939498	2.66
1715874266.9905548	2.78
1715874267.04235	2.92
1715874267.092486	3.07
1715874267.143449	3.19
1715874267.194527	3.3
1715874267.245474	3.42
1715874267.296491	3.59
1715874267.347454	3.69
1715874267.398549	3.83
1715874267.4495318	3.93
1715874267.500532	4.07
1715874267.5514722	4.19
1715874267.602529	4.31
1715874267.653515	4.43
1715874267.704504	4.55
1715874267.7555158	4.62
1715874267.80652	4.74
1715874267.85746	4.81
1715874267.9084978	4.91
1715874267.959469	5.01
1715874268.010509	5.1
1715874268.061517	5.2
1715874268.112462	5.27
1715874268.163436	5.39
1715874268.214483	5.46
1715874268.265517	5.58
1715874268.3165429	5.65
1715874268.367458	5.75
1715874268.418439	5.84
1715874268.4694679	5.92
1715874268.520492	5.99
1715874268.571462	6.08
1715874268.622468	6.13
1715874268.67345	6.2
1715874268.724721	6.32
1715874268.776324	6.35
1715874268.82733	6.42
1715874268.878307	6.49
1715874268.9284701	6.54
1715874268.979446	6.61
1715874269.031338	6.68
1715874269.0814989	6.75
1715874269.1324549	6.8
1715874269.183522	6.9
1715874269.234424	6.92
1715874269.286307	6.95
1715874269.3373702	6.99
1715874269.388342	6.97
1715874269.439355	6.99
1715874269.490326	6.97
1715874269.541297	6.97
1715874269.592321	6.97
1715874269.643317	6.97
1715874269.6943371	6.97
1715874269.7453382	6.97
1715874269.7963378	6.95
1715874269.847311	6.97
1715874269.898407	6.97
1715874269.949313	6.95
1715874270.0003278	6.92
1715874270.051318	6.95
1715874270.102356	6.95
1715874270.153315	6.92
1715874270.20433	6.95
1715874270.2553291	6.95
1715874270.306329	6.92
1715874270.3573	6.92
1715874270.408322	6.92
1715874270.459332	6.95
1715874270.510296	6.92
1715874270.5612988	6.95
1715874270.6123352	6.92
1715874270.663296	6.92
1715874270.7143319	6.92
1715874270.7653198	6.92
1715874270.81633	6.9
1715874270.867315	6.9
1715874270.918318	6.92
1715874270.969335	6.9
1715874271.020326	6.92
1715874271.071342	6.92
1715874271.122298	6.9
1715874271.173291	6.9
1715874271.22433	6.87
1715874271.275327	6.9
1715874271.3263118	6.9
1715874271.377302	6.9
1715874271.428297	6.87
1715874271.479311	6.9
1715874271.530305	6.9
1715874271.5813	6.87
1715874271.6323352	6.87
1715874271.6833029	6.87
1715874271.734299	6.87
1715874271.785304	6.87
1715874271.8363059	6.87
1715874271.8873081	6.87
1715874271.938297	6.87
1715874271.989289	6.9
1715874272.040319	6.87
1715874272.0913122	6.87
1715874272.1423008	6.9
1715874272.193395	6.85
1715874272.2443001	6.87
1715874272.295299	6.87
1715874272.346308	6.85
1715874272.397331	6.85
1715874272.44834	6.87
1715874272.499305	6.87
1715874272.550282	6.85
1715874272.601301	6.87
1715874272.652277	6.85
1715874272.7033799	6.9
1715874272.7543108	6.87
1715874272.8053088	6.87
1715874272.856284	6.87
1715874272.907319	6.87
1715874272.958299	6.87
1715874273.009262	6.83
1715874273.060298	6.85
1715874273.111316	6.85
1715874273.1622982	6.85
1715874273.21331	6.85
1715874273.2643142	6.83
1715874273.315304	6.83
1715874273.3662899	6.85
1715874273.4173188	6.87
1715874273.468287	6.83
1715874273.519368	6.85
1715874273.570304	6.85
1715874273.621289	6.85
1715874273.672259	6.83
1715874273.7232692	6.83
1715874273.774283	6.85
1715874273.825325	6.83
1715874273.876298	6.83
1715874273.927304	6.85
1715874273.978264	6.83
1715874274.029284	6.85
1715874274.080301	6.85
1715874274.131305	6.83
1715874274.182289	6.85
1715874274.233363	6.85
1715874274.2842839	6.85
1715874274.335327	6.83
1715874274.386295	6.83
1715874274.4372852	6.8
1715874274.488287	6.8
1715874274.539262	6.83
1715874274.5902898	6.83
1715874274.641265	6.8
1715874274.6922922	6.83
1715874274.743285	6.83
1715874274.7942889	6.83
1715874274.8452978	6.8
1715874274.89625	6.8
1715874274.947285	6.8
1715874274.998282	6.83
1715874275.049267	6.8
1715874275.100249	6.8
1715874275.1513002	6.8
1715874275.2022789	6.83
1715874275.253267	6.83
1715874275.3042848	6.8
1715874275.35528	6.8
1715874275.406275	6.8
1715874275.457273	6.8
1715874275.5082612	6.8
1715874275.55926	6.83
1715874275.610282	6.8
1715874275.661282	6.83
1715874275.712287	6.8
1715874275.763242	6.83
1715874275.814263	6.83
1715874275.8652601	6.8
1715874275.9162722	6.83
1715874275.967254	6.8
1715874276.018346	6.8
1715874276.0692768	6.8
1715874276.120287	6.8
1715874276.171312	6.8
1715874276.2222872	6.8
