time	force
1715875550.4286468	0.0
1715875550.435491	0.0
1715875550.486458	0.02
1715875550.53745	0.0
1715875550.588507	0.0
1715875550.639513	0.0
1715875550.690666	0.0
1715875550.741717	0.0
1715875550.7928371	0.0
1715875550.844316	-0.02
1715875550.894967	0.0
1715875550.946032	0.0
1715875550.996866	0.0
1715875551.047746	0.0
1715875551.098848	0.0
1715875551.149803	0.0
1715875551.2007492	0.0
1715875551.25187	0.0
1715875551.303245	0.0
1715875551.353767	0.0
1715875551.404955	0.0
1715875551.4555259	-0.02
1715875551.507426	0.0
1715875551.557785	0.0
1715875551.608719	0.0
1715875551.662901	0.0
1715875551.71596	0.0
1715875551.761365	0.0
1715875551.812459	0.0
1715875551.863413	0.0
1715875551.914416	0.0
1715875551.9654222	0.0
1715875552.0163672	0.0
1715875552.067395	0.0
1715875552.118388	0.0
1715875552.169427	0.0
1715875552.2204642	0.0
1715875552.27137	0.02
1715875552.32336	0.0
1715875552.373375	0.0
1715875552.424437	0.0
1715875552.4754188	0.0
1715875552.526484	0.0
1715875552.577356	0.0
1715875552.628463	0.0
1715875552.6794271	0.02
1715875552.7304041	0.02
1715875552.781413	0.0
1715875552.832384	0.02
1715875552.883428	0.0
1715875552.9344268	0.02
1715875552.985418	0.0
1715875553.0364249	0.0
1715875553.087362	0.02
1715875553.138409	0.0
1715875553.189423	0.05
1715875553.2404191	0.02
1715875553.2914371	0.05
1715875553.3425019	0.05
1715875553.3934138	0.02
1715875553.444454	0.02
1715875553.495405	0.02
1715875553.546433	0.02
1715875553.59735	0.0
1715875553.6483562	0.02
1715875553.699462	0.02
1715875553.7504058	0.02
1715875553.801428	0.02
1715875553.852431	0.02
1715875553.9033432	0.02
1715875553.954386	0.02
1715875554.005362	0.02
1715875554.056478	0.02
1715875554.107424	0.07
1715875554.158457	0.24
1715875554.2093508	0.38
1715875554.260406	0.62
1715875554.311427	0.81
1715875554.3624	1.05
1715875554.413363	1.27
1715875554.464467	1.46
1715875554.515424	1.6
1715875554.566945	1.77
1715875554.617383	1.92
1715875554.668447	2.08
1715875554.719341	2.23
1715875554.7703738	2.37
1715875554.8213491	2.47
1715875554.872457	2.63
1715875554.92342	2.78
1715875554.974407	2.9
1715875555.0253649	2.99
1715875555.076372	3.16
1715875555.128295	3.3
1715875555.178394	3.42
1715875555.229422	3.57
1715875555.280363	3.69
1715875555.3313549	3.83
1715875555.382386	3.93
1715875555.4334002	4.07
1715875555.4844182	4.22
1715875555.5353448	4.31
1715875555.5863838	4.45
1715875555.63737	4.57
1715875555.688406	4.69
1715875555.7394502	4.84
1715875555.790381	4.93
1715875555.841434	5.05
1715875555.8924081	5.13
1715875555.9434109	5.24
1715875555.9943419	5.34
1715875556.0453959	5.44
1715875556.096374	5.53
1715875556.147399	5.63
1715875556.198377	5.72
1715875556.24942	5.82
1715875556.300372	5.92
1715875556.351304	6.04
1715875556.402381	6.13
1715875556.4534001	6.2
1715875556.50437	6.3
1715875556.555441	6.39
1715875556.606404	6.47
1715875556.6573179	6.54
1715875556.70836	6.63
1715875556.759362	6.71
1715875556.810364	6.8
1715875556.861387	6.9
1715875556.912313	6.97
1715875556.963367	7.04
1715875557.0143628	7.14
1715875557.065355	7.21
1715875557.116416	7.28
1715875557.167328	7.3
1715875557.2183292	7.33
1715875557.269349	7.38
1715875557.320386	7.42
1715875557.371443	7.45
1715875557.422362	7.5
1715875557.473357	7.5
1715875557.524333	7.47
1715875557.5753531	7.45
1715875557.6263812	7.47
1715875557.6773171	7.45
1715875557.728328	7.42
1715875557.77937	7.45
1715875557.8303611	7.45
1715875557.881496	7.45
1715875557.933224	7.45
1715875557.98331	7.42
1715875558.034374	7.42
1715875558.085393	7.42
1715875558.136391	7.42
1715875558.187364	7.42
1715875558.238353	7.42
1715875558.289388	7.42
1715875558.340362	7.42
1715875558.391336	7.45
1715875558.442404	7.45
1715875558.493352	7.45
1715875558.54431	7.42
1715875558.595326	7.45
1715875558.646382	7.42
1715875558.6974	7.42
1715875558.7483609	7.42
1715875558.799268	7.42
1715875558.850392	7.45
1715875558.90137	7.45
1715875558.95239	7.45
1715875559.003329	7.42
1715875559.054348	7.42
1715875559.105373	7.45
1715875559.1563368	7.42
1715875559.207388	7.45
1715875559.2583418	7.42
1715875559.309352	7.42
1715875559.360291	7.45
1715875559.411307	7.42
1715875559.4622998	7.45
1715875559.513375	7.42
1715875559.5643039	7.45
1715875559.615294	7.45
1715875559.666311	7.42
1715875559.717349	7.4
1715875559.768363	7.45
1715875559.819345	7.45
1715875559.870305	7.42
1715875559.921304	7.45
1715875559.972349	7.42
1715875560.0233269	7.4
1715875560.0743911	7.42
1715875560.125344	7.42
1715875560.17629	7.42
1715875560.2273011	7.45
1715875560.278347	7.4
1715875560.3293529	7.42
1715875560.380385	7.45
1715875560.4312682	7.42
1715875560.482307	7.42
1715875560.533342	7.42
1715875560.5843358	7.42
1715875560.635305	7.45
1715875560.6862578	7.4
1715875560.7373319	7.42
1715875560.7892742	7.42
1715875560.8393338	7.42
1715875560.890323	7.42
1715875560.941333	7.42
1715875560.992304	7.42
1715875561.0433338	7.45
1715875561.094334	7.42
1715875561.145328	7.42
1715875561.196362	7.45
1715875561.2472908	7.42
1715875561.298323	7.42
1715875561.3493419	7.42
1715875561.4003918	7.4
1715875561.45139	7.42
1715875561.502264	7.45
1715875561.553351	7.42
1715875561.604324	7.42
1715875561.655356	7.42
1715875561.7063308	7.42
1715875561.7573361	7.42
1715875561.8082838	7.42
1715875561.8594	7.45
1715875561.9103308	7.42
1715875561.961378	7.45
1715875562.012343	7.42
1715875562.063545	7.42
1715875562.114557	7.42
1715875562.1656141	7.45
1715875562.216745	7.4
1715875562.267618	7.42
1715875562.318336	7.42
1715875562.369368	7.42
1715875562.420349	7.42
1715875562.471571	7.42
1715875562.522423	7.42
1715875562.57339	7.42
1715875562.6286561	7.45
1715875562.675597	7.45
1715875562.727029	7.42
1715875562.777337	7.42
1715875562.8283179	7.45
1715875562.8793018	7.42
1715875562.9303172	7.45
1715875562.981312	7.42
1715875563.032334	7.42
1715875563.083307	7.45
1715875563.134251	7.42
1715875563.1853309	7.45
1715875563.236288	7.42
1715875563.287315	7.45
1715875563.3383338	7.42
1715875563.3894882	7.42
1715875563.4403121	7.42
