time	force
1715776964.396321	-0.02
1715776964.3976262	-0.02
1715776964.399162	0.0
1715776964.403208	0.0
1715776964.404135	-0.02
1715776964.4046578	-0.02
1715776964.405144	-0.02
1715776964.40564	-0.02
1715776964.4061491	-0.02
1715776964.4066188	-0.02
1715776964.4070091	-0.02
1715776964.4074602	-0.02
1715776964.407891	-0.02
1715776964.408301	-0.02
1715776964.408706	0.0
1715776964.4091258	-0.02
1715776964.410079	0.02
1715776964.444976	0.0
1715776964.496286	0.0
1715776964.547084	0.0
1715776964.598067	-0.02
1715776964.649099	0.0
1715776964.700099	0.0
1715776964.751264	0.0
1715776964.802308	0.0
1715776964.854132	0.02
1715776964.904362	0.0
1715776964.9561658	0.0
1715776965.006568	-0.02
1715776965.057835	-0.02
1715776965.1122618	0.0
1715776965.159335	0.0
1715776965.210764	-0.02
1715776965.26123	0.0
1715776965.312653	0.0
1715776965.3632	-0.02
1715776965.414329	0.0
1715776965.465708	0.0
1715776965.5165582	0.0
1715776965.56754	-0.02
1715776965.6182	0.0
1715776965.669534	-0.02
1715776965.720045	-0.02
1715776965.77516	0.0
1715776965.8245912	0.0
1715776965.873644	0.0
1715776965.924311	-0.02
1715776965.9752471	0.0
1715776966.025996	-0.02
1715776966.076978	-0.02
1715776966.1288562	0.0
1715776966.179022	0.0
1715776966.229952	0.0
1715776966.280962	-0.02
1715776966.331954	-0.02
1715776966.382949	0.0
1715776966.433943	0.0
1715776966.484971	-0.02
1715776966.5359712	0.0
1715776966.5869288	-0.02
1715776966.637954	-0.02
1715776966.689003	-0.02
1715776966.739987	0.0
1715776966.7909288	-0.02
1715776966.8419251	0.0
1715776966.893	0.0
1715776966.943985	-0.02
1715776966.9949691	-0.02
1715776967.045954	0.02
1715776967.096998	0.0
1715776967.147965	0.0
1715776967.199004	0.02
1715776967.2500029	0.12
1715776967.3009589	0.22
1715776967.351943	0.31
1715776967.402974	0.46
1715776967.453981	0.57
1715776967.504982	0.69
1715776967.555986	0.79
1715776967.6069472	0.89
1715776967.6580548	0.98
1715776967.709012	1.1
1715776967.760041	1.2
1715776967.8110468	1.29
1715776967.8619342	1.37
1715776967.912958	1.46
1715776967.964034	1.51
1715776968.015039	1.6
1715776968.066014	1.68
1715776968.116941	1.75
1715776968.167951	1.84
1715776968.218984	1.92
1715776968.2699652	1.99
1715776968.320957	2.04
1715776968.371974	2.13
1715776968.42291	2.23
1715776968.473949	2.3
1715776968.524976	2.37
1715776968.57602	2.44
1715776968.626944	2.51
1715776968.677957	2.61
1715776968.7289002	2.66
1715776968.779982	2.75
1715776968.8309891	2.85
1715776968.8819451	2.87
1715776968.932928	2.97
1715776968.98493	3.02
1715776969.035032	3.11
1715776969.085954	3.19
1715776969.137001	3.26
1715776969.187972	3.33
1715776969.238988	3.4
1715776969.289953	3.5
1715776969.34097	3.57
1715776969.3920121	3.64
1715776969.44299	3.74
1715776969.493939	3.78
1715776969.5449548	3.9
1715776969.596001	3.95
1715776969.647029	4.02
1715776969.697952	4.12
1715776969.7489479	4.17
1715776969.800031	4.24
1715776969.851003	4.31
1715776969.901972	4.38
1715776969.952943	4.45
1715776970.0040379	4.55
1715776970.054938	4.62
1715776970.106055	4.67
1715776970.156984	4.74
1715776970.20795	4.84
1715776970.259024	4.89
1715776970.3099961	4.96
1715776970.360959	5.03
1715776970.4118881	5.1
1715776970.4630451	5.17
1715776970.514146	5.24
1715776970.5649228	5.29
1715776970.615956	5.39
1715776970.6670249	5.41
1715776970.71797	5.44
1715776970.76895	5.44
1715776970.8199859	5.44
1715776970.870969	5.44
1715776970.921994	5.44
1715776970.972953	5.44
1715776971.023935	5.46
1715776971.074998	5.44
1715776971.125963	5.41
1715776971.17697	5.41
1715776971.227932	5.41
1715776971.2790458	5.41
1715776971.330016	5.44
1715776971.3809438	5.41
1715776971.431971	5.41
1715776971.482969	5.41
1715776971.5339892	5.39
1715776971.5849779	5.39
1715776971.635966	5.39
1715776971.686972	5.41
1715776971.737969	5.39
1715776971.789876	5.39
1715776971.83995	5.39
1715776971.890977	5.39
1715776971.941942	5.39
1715776971.992958	5.36
1715776972.0439548	5.39
1715776972.094982	5.36
1715776972.145972	5.39
1715776972.196946	5.36
1715776972.24794	5.39
1715776972.298987	5.39
1715776972.350008	5.36
1715776972.4009888	5.36
1715776972.451992	5.36
1715776972.502982	5.34
1715776972.553944	5.34
1715776972.604975	5.36
1715776972.656008	5.36
1715776972.706971	5.36
1715776972.7579362	5.34
1715776972.809042	5.36
1715776972.8599548	5.36
1715776972.9109771	5.36
1715776972.9619882	5.34
1715776973.012946	5.34
1715776973.063951	5.34
1715776973.114945	5.34
1715776973.165967	5.34
1715776973.2170188	5.34
1715776973.267956	5.34
1715776973.318942	5.34
1715776973.370105	5.36
1715776973.421024	5.34
1715776973.471956	5.34
1715776973.522939	5.36
1715776973.5739589	5.34
1715776973.6250088	5.34
1715776973.676026	5.34
